time,roll,pitch,yaw
0.000,-0.014631,0.011274,-0.010921
0.020,-0.004181,-0.025143,0.001885
0.040,0.065705,0.034700,0.013689
0.060,0.034996,0.028108,0.008580
0.080,0.044793,0.050213,0.005510
0.100,0.030546,0.071608,0.015268
0.120,0.060129,0.017169,0.013607
0.140,0.038944,0.007449,0.001878
0.160,0.017922,0.072267,0.010885
0.180,0.001291,-0.005216,0.018059
0.200,-0.026677,-0.035824,-0.005090
0.220,0.026710,0.008468,0.006886
0.240,0.021194,0.042266,0.013125
0.260,0.066103,0.084755,-0.006053
0.280,0.011114,0.044336,0.018728
0.300,0.055968,0.057636,0.005605
0.320,0.048133,0.058636,0.001056
0.340,0.023729,0.052746,0.013682
0.360,0.098119,0.050801,0.014438
0.380,0.109022,0.062570,-0.005696
0.400,0.115233,0.069243,-0.004481
0.420,0.073082,0.028094,0.005562
0.440,0.050729,0.025874,0.008523
0.460,0.078291,0.027129,-0.017154
0.480,0.041475,0.037554,-0.000933
0.500,0.057185,0.028277,0.005347
0.520,0.048714,0.073446,0.012649
0.540,0.087089,0.082958,-0.008378
0.560,0.068158,0.061618,-0.002875
0.580,0.033477,0.080834,0.010893
0.600,0.033794,0.082668,0.017375
0.620,0.044768,0.080731,0.005624
0.640,0.092826,0.061085,0.004056
0.660,0.052025,0.046495,0.004376
0.680,0.102422,0.070792,-0.001621
0.700,0.097796,0.085337,0.018189
0.720,0.123493,0.061345,0.004594
0.740,0.084919,0.110167,-0.009099
0.760,0.076813,0.108459,0.009421
0.780,0.066119,0.079671,-0.014603
0.800,0.094514,0.121660,0.009235
0.820,0.078743,0.102358,0.002438
0.840,0.091289,0.118108,0.006115
0.860,0.058775,0.063099,0.009154
0.880,0.073397,0.078519,0.008508
0.900,0.056384,0.075502,-0.005663
0.920,0.058499,0.038475,0.030943
0.940,0.073755,0.119147,0.026047
0.960,0.085620,0.067047,0.015138
0.980,0.103882,0.067493,0.018150
1.000,0.113693,0.105226,0.011541
1.020,0.103595,0.127503,-0.023494
1.040,0.098669,0.106330,-0.015654
1.060,0.137402,0.124104,0.006322
1.080,0.078770,0.093126,0.007852
1.100,0.121652,0.132587,0.021457
1.120,0.086121,0.120807,0.000782
1.140,0.070746,0.040213,0.009253
1.160,0.053876,0.101517,0.017651
1.180,0.021171,0.047659,0.002592
1.200,0.086192,0.031655,0.007154
1.220,0.039350,0.051237,0.002722
1.240,0.049648,0.065610,0.007849
1.260,0.072674,0.126781,0.017423
1.280,0.097521,0.096330,-0.003796
1.300,0.089218,0.125204,0.012930
1.320,0.066415,0.097918,0.010270
1.340,0.077953,0.090699,0.039214
1.360,0.111815,0.073571,0.029272
1.380,0.052062,0.087327,0.000414
1.400,0.057994,0.055570,0.002056
1.420,0.042950,0.061305,0.032613
1.440,0.060639,0.121042,0.007007
1.460,0.042494,0.063117,0.010496
1.480,0.003198,0.076965,0.014580
1.500,0.021612,0.116612,0.016269
1.520,0.034215,0.111337,0.010378
1.540,0.047837,0.074275,-0.002887
1.560,0.065269,0.103790,0.004648
1.580,0.019664,0.058024,0.014064
1.600,0.043664,0.107327,0.009988
1.620,0.057134,0.115262,0.006334
1.640,0.090894,0.080590,0.014632
1.660,0.065325,0.056220,0.008411
1.680,0.062068,0.061879,-0.000505
1.700,0.037130,0.048408,0.004728
1.720,0.002418,0.073515,0.014724
1.740,0.057970,0.047696,0.027526
1.760,0.079376,0.042879,0.031408
1.780,0.004546,0.047480,-0.006298
1.800,-0.007572,0.076063,-0.001362
1.820,0.001242,0.073469,0.020294
1.840,0.027753,0.064444,0.027432
1.860,0.037179,0.065307,0.019617
1.880,0.046443,0.076715,-0.001343
1.900,0.038103,0.064731,0.012335
1.920,0.025415,0.060182,0.010118
1.940,0.085618,0.046909,0.019619
1.960,0.049180,0.064225,0.014563
1.980,0.051067,0.063795,0.009819
2.000,0.078216,0.035719,0.034180
2.020,0.028269,0.081960,0.022898
2.040,0.067725,0.084522,0.041058
2.060,0.025738,0.041876,0.019575
2.080,0.004912,0.040683,0.025870
2.100,0.011150,0.040350,0.008899
2.120,0.010522,0.072219,0.022919
2.140,0.033312,0.070816,0.001006
2.160,0.043720,0.058260,0.010521
2.180,0.013983,0.053231,0.015961
2.200,0.073513,0.022871,0.018737
2.220,0.054419,0.009471,0.000394
2.240,0.099037,0.032817,0.032540
2.260,0.073191,0.053657,-0.001645
2.280,0.063183,0.074311,0.019675
2.300,0.053442,0.067630,0.016145
2.320,0.124861,-0.004320,0.003138
2.340,0.073736,0.052426,0.029782
2.360,0.046362,0.026860,0.030428
2.380,0.039325,0.033990,0.011150
2.400,0.064080,0.047369,0.012418
2.420,0.031498,-0.015264,0.028186
2.440,0.008618,0.017269,0.017474
2.460,0.055339,0.044134,0.023582
2.480,0.051982,0.023723,0.025674
2.500,0.056533,0.038310,0.010513
2.520,0.062905,0.059115,0.011127
2.540,0.080828,0.012358,0.026703
2.560,0.111411,0.037545,0.025778
2.580,0.123201,0.061489,0.021213
2.600,0.144902,0.019827,0.033685
2.620,0.087131,0.050800,0.025132
2.640,0.128794,0.012275,0.024379
2.660,0.118055,0.057301,0.028923
2.680,0.097089,0.027955,0.032552
2.700,0.105600,0.034887,0.022035
2.720,0.084522,-0.000046,0.007588
2.740,0.090932,0.042145,0.025623
2.760,0.068275,0.064925,0.023041
2.780,0.096422,0.012180,0.017109
2.800,0.109271,0.007952,0.013547
2.820,0.110482,0.060242,0.014698
2.840,0.119309,0.068146,0.017858
2.860,0.155609,0.070168,0.026020
2.880,0.120389,0.014741,0.033179
2.900,0.171169,-0.001070,0.031872
2.920,0.161371,0.003201,0.010973
2.940,0.689646,0.740581,0.022966
2.960,0.140817,0.001360,0.018553
2.980,0.138999,0.043792,0.005538
3.000,0.141070,0.034853,0.043396
3.020,0.111102,0.065098,0.009942
3.040,0.103381,0.049551,0.017468
3.060,0.118341,0.053334,0.012621
3.080,0.155932,0.051354,0.034946
3.100,0.107948,0.043095,0.029660
3.120,0.110116,0.052494,0.007599
3.140,0.135883,0.047829,0.030844
3.160,0.158119,-0.001514,0.017820
3.180,0.166568,0.043891,0.014152
3.200,0.161150,0.048836,0.032397
3.220,0.181683,0.046255,0.025426
3.240,0.237956,0.052746,0.040738
3.260,0.209707,0.022875,0.013299
3.280,0.174190,0.067478,0.029355
3.300,0.161882,0.047192,0.024895
3.320,0.120767,0.104027,0.016069
3.340,0.126323,0.094573,0.029736
3.360,0.125790,0.057539,0.037298
3.380,-0.440406,-0.408909,0.032088
3.400,0.138769,0.043031,0.029856
3.420,0.154877,0.016695,0.024180
3.440,0.150455,0.024801,0.011792
3.460,0.151959,0.015113,0.002435
3.480,0.150985,0.047983,0.016969
3.500,0.166271,0.005887,0.017813
3.520,0.163700,0.047402,0.009734
3.540,0.142437,0.000485,0.023592
3.560,0.192013,0.083254,0.006734
3.580,0.136467,0.075054,0.008332
3.600,0.159718,0.022946,0.016660
3.620,0.117913,0.083680,0.030504
3.640,0.114154,0.072990,0.033711
3.660,0.135554,0.031936,0.018251
3.680,0.097476,-0.015412,0.019087
3.700,0.117620,0.046332,0.033022
3.720,0.148297,0.045014,0.033537
3.740,0.130822,0.042110,0.025539
3.760,0.150763,0.022638,0.036157
3.780,0.127167,0.055694,0.027693
3.800,0.194533,0.070174,0.025055
3.820,0.139426,0.051829,0.036924
3.840,0.130874,0.042585,0.027899
3.860,0.111082,0.026501,0.025540
3.880,0.143607,0.079175,0.025730
3.900,0.135274,0.043641,0.034659
3.920,0.101105,0.036734,0.042368
3.940,0.088000,0.046101,0.024563
3.960,0.121228,0.038245,0.032486
3.980,0.096130,0.040706,0.027842
4.000,0.115092,0.051507,0.019535
4.020,0.083226,0.027047,0.020843
4.040,0.063882,0.049164,0.025713
4.060,0.072834,0.079987,0.026302
4.080,0.137053,0.112274,0.014794
4.100,0.099272,0.062537,0.042879
4.120,0.125975,0.078632,0.029854
4.140,0.121015,0.048822,0.036918
4.160,0.085020,0.059865,0.042962
4.180,0.121923,0.029721,0.031103
4.200,0.093200,0.047507,0.041596
4.220,0.094447,0.066351,0.005165
4.240,0.105013,0.026448,0.035779
4.260,0.057616,0.034223,0.033649
4.280,0.049374,0.058893,0.027627
4.300,0.029197,0.044110,0.034539
4.320,0.001790,0.046168,0.017384
4.340,0.064531,0.057253,0.028510
4.360,0.020768,0.049724,0.022310
4.380,0.059357,0.019101,0.014701
4.400,0.076156,0.016069,0.021535
4.420,0.081438,0.044727,0.015847
4.440,0.034503,0.026338,0.004444
4.460,0.065382,0.049604,0.047465
4.480,0.047932,-0.009388,0.027457
4.500,0.030800,-0.009965,0.009132
4.520,0.059790,0.010337,0.041550
4.540,0.051658,0.053400,0.035209
4.560,0.042203,0.044767,0.035953
4.580,0.008197,0.072324,0.023419
4.600,0.041482,0.054757,0.032781
4.620,0.021472,0.025160,0.041318
4.640,0.031339,0.024053,0.017650
4.660,0.042277,0.014810,0.025039
4.680,0.011458,-0.025684,0.033713
4.700,0.039540,-0.014892,0.013044
4.720,0.066279,-0.019633,0.007755
4.740,0.044253,-0.012066,0.017948
4.760,0.018572,0.035839,0.023495
4.780,0.057625,0.032135,0.049479
4.800,0.059819,0.067869,0.025733
4.820,-0.010708,0.010068,0.020023
4.840,0.030377,0.013799,0.010884
4.860,0.006295,0.001647,0.011616
4.880,0.034648,0.054928,0.024867
4.900,-0.011961,0.000066,0.009478
4.920,-0.013143,-0.040352,0.042621
4.940,0.003508,-0.008789,0.033963
4.960,0.041145,-0.022144,0.023117
4.980,-0.008817,-0.033935,0.045307
5.000,0.003119,-0.010434,0.040053
5.020,0.035071,-0.023654,0.020607
5.040,0.052101,-0.011460,0.048557
5.060,-0.001620,-0.001017,0.045511
5.080,0.023780,0.020712,0.035800
5.100,0.044640,-0.010522,0.026385
5.120,0.034911,-0.017937,0.040057
5.140,0.037098,-0.019461,0.025868
5.160,0.056571,-0.048541,0.030491
